	distance	height	weight	role	hot	age	description	name	mate	online_state
74	0.11	173	47	-1	143	19	"              사문아 
              
                  裸照👆👆   上图，加我Q

  
哪个敢在街上牵着我得手 一起走哇？👫👫

                 不找男票👶👶
         

섹시한 당신은 나의 남자❤❤

                                                         已出柜🏃🏃...

有了一个大大得目标

求小伙伴一起考TOEFL & GRE...
"	Somnolence	2	1
75	0.11	175	64	0.5	66	22	期待平淡又幸福的生活	缄默之无言	2	1
76	0.11	170	55	-1	2	24	不约，真的别问了谢谢	窝阿由肚鹰闹		0
77	0.11	120	30	-1	92	19		-0114	1	1
78	0.11	174	55	0	13	18	最好的不过是一起牵着走，来一场说走就走的旅行	let-u-in		2
79	0.11	185	72	0.5	93	20	  帅高	不是亲亲亲亲亲亲亲亲	2	1
80	0.11	170	50	-1	46	20	"不约，不约，不约，偶尔上，随意聊天。
希望大家都有礼貌。"	好久不贱-	2	1
81	0.11	175	65	0	98	19	"有健身的习惯但，是个运动白痴
想有很多的朋友但，是个社交障碍型人格
懂很多的道理但，是个空想主义者
相貌朴实无华，内心自省多戏

如果我们互相尊重，请不要使用“嗯 噢”"	没错没错头像是我老公	2	0
82	0.11	187	75	0.5	135	20	期待一份长久的感情，你不主动点我们怎么认识呢😜	蜀黍不容易	2	1
83	0.11	175	65	0	136	21	Shake It Off	猫本不掉毛	2	1
84	0.12	172	50	-1	20	19	"不约，谢谢
请绕道

"	ShiLin-	2	1
85	0.12	178	66	-1	8	20	人丑嘴贫家穷/不约	Thomassa		0
86	0.12	178	67	-1	0	21		朴树苗咩		0
87	0.12	170	55	-1	1	20		ekdksk		0
88	0.12	173	65	0	2	20		我不是gay呢		0
89	0.12	172	62	-1	44	20	我真的太丑了，地精自卑症。	黄焖jimmy饭6	1	1
90	0.12	164	70	0	25	36	Done.	sjejxkaj		0
91	0.12	174	53	-1	5	20	"约 约 约

胖老的勿扰
0勿扰
重口味的勿扰

一般到晚上会查看消息"	啊啊阿阿阿吖啊	2	2
92	0.12	173	60	0.5	12	19		喃泥	1	1
93	0.12	163	47	-1	26	20	"M3N
PeterPan 
Wendy
Tinker
"	Friends丶	2	1
94	0.13	170	62	-1	11	20	"#我独酌山外小阁楼，听一夜相思愁，醉后让人烦忧心绪难收#

#牛粉，蕾粉，科蜜，詹密，重要程度按先后顺序23333#

#麻烦别上来就想脱光了似的问这问那还自己揣着，问之前先掂量掂量自己是什么货，你不是公安局的我也没有配合的义务，公安局的也请到我面前来查。#

#不约，不约，不约，重要事情说三遍，聊天请自觉并带素质#"	fairytale1111	1	1
95	0.13	180	72	0.5	17	21	"喜欢聊天，但不约
时光易逝，难倒回......"	拾遗orz		1
96	0.14	181	73	-1	106	21		取个啥名儿啊	1	1
97	0.14	175	65	-1	19	20	这个人很懒，什么都没有留下	本分的小蜗	1	1
98	0.14	176	63	-1	0	18		Insurmountablee		0
99	0.15	179	64	1	56	21	科大新人！求撩😄	愚者裕		1
100	0.15	189	80	1	208	22	找个人傻肉多的体育生，	鱼人小伙	1	1
101	0.15	120	30	-1	0	21		很久以前223		1
102	0.15	178	60	0	18	18	拒绝约炮。	anythingAN	2	1
103	0.16	180	66	-1	46	25	"Frère bro.
~Hey guy 
~nice to meet you
less routine, more sincerity,please. 
I don't like to show my selfies here.
If we have a nice talking, then we can share pic.
我 不帅 不擅长说话 不擅长表达情感
我 阳光 交心 性情中人
我 对待一切感情都太认真
我 这就是一个差不多的我
"	Taekwondo	2	1
104	0.16	125	79	-1	4	18	只是想遇到一个简简单单的人。	兮兮呵呵汪汪		0
105	0.16	175	50	-1	8	19	ᵎ(•̀㉨•́)و ̑̑ 加油	布布、	1	1
106	0.17	173	55	0.5	74	19	幸福如风，常伴汝身	Saberring	2	2
107	0.17	178	59	0	31	18	找一只雄性动物欢度余生	Enjoyme	2	2
108	0.17	170	65	0	137	22	找个bf咯=。=	婊哥s		0
109	0.18	172	57	0.5	10	19	"讨厌在互相不知底的情况下仅凭相貌就来一场所谓的恋爱（虽然有些人认为眼缘十分重要。。。咳咳。。我也是这么认为的，不过像我这么有原则的人，还是会坚持不发照片，不给看脸，就是这么任性）因此，其实并不指望找对象😌😌(特意备注一下，因为最近总有人问，强调！抱歉，不约)         
         如果只有五块钱那我买忠诚，聪明和会做饭😌😌"	snoopyorz	2	2
110	0.18	190	80	1	238	26	不约！各种不约！	科林最爱我		0
111	0.18	172	59	0.5	17	17	不想进这个圈子啊，我就是来看看。。。	可爱的高三汪	3	1
112	0.18	180	75	1	38	24		killingsoul		2
113	0.18	180	68	0.5	41	22	"想认识更多的朋友，欢迎聊天～
qq840508344  备注blued
不约
目前处于失恋期。。。"	jiangcoolguy	2	1
114	0.19	172	73	0.5	24	26		i熊猫儿i	2	1
115	0.19	180	75	0.5	57	18		爱笑的眼睛PX211	2	2
116	0.19	176	57	0.5	84	22	"喜欢可爱的攻和更加可爱呆萌的受
你不戳我怎么知道我早就想戳你呢"	bubbob	2	1
117	0.19	167	59	-1	29	25		sjxubag	1	2
118	0.19	165	54	1	5	21		jjjuuuttt	2	1
119	0.19	175	70	0.5	3	23	"刚来uestc的小水硕一只
欢迎来聊天(￣▽￣)"	Atchoooo	2	2
120	0.19	176	56	-1	4	17	W	RÍCH_Tang	1	1
121	0.19	179	65	0	59	22	"爱干净的男生
如果你帅，那可以没有身材；如果你有身材，那你可以不帅。如果两样都没有，那就混吃等死吧，都不奋斗一下怎么行。
喜欢先聊聊"	0rz	1	1
122	0.2	170	57	-1	74	21	一二三四五六七7654321	ChaiiahC	1	1
123	0.2	180	70	-1	142	21	"Be better
谦谦君子，温润如玉
希望所有的等待，都值得"	NeverSayNevera	1	1
124	0.2	176	57	-1	31	21	Cool Water.	請君勿死		1
125	0.2	174	60	0	5	24		Chrismix	1	0
126	0.2	171	56	0.5	3	19	身高体重是以前的，年龄是假的	hayyhayyhayy		2
127	0.2	170	64	0.5	29	23		火龙的咆哮	2	1
128	0.2	172	55	0.5	6	19		冰之羽	1	2
129	0.21	171	51	0	19	21	.	CNBLEEL	1	2
130	0.21	176	73	0.5	7	30	有没一起健身互相监督的	黑色的幽默		1
131	0.21	174	75	0.5	11	19	"刚来科大，还请多多指教。喜欢年龄比自己大的熊哥。太瘦的就不要打招呼了，没有安全感。
喜欢聊天，非科大的感觉太远了。"	panpanbear	1	1
132	0.21	173	72	0	66	21	～	Polysoiiie	1	1
133	0.21	165	55	-1	28	22	。	绕城高速边上的忧伤	1	0
134	0.21	165	58	0	11	19	可能是我要求太高吧，那就算了！从今天开始，就退圈子了，我努力变直。也不和大家联系了，再见。	退圈了886不再联系	1	0
135	0.21	168	56	-1	179	23	找张美图做头像	Prim017	1	1
136	0.21	176	80	0.5	72	27	"喜熊狒，怪我咯！
人生若只如初见，我不想一个人抽烟。。。"	茬Be	2	1
137	0.21	185	70	0.5	22	18	"首先第一件事

约炮勿扰，约炮勿扰，约炮勿扰，
重要的事情说三遍
不要浪费各自的时间
（但是五位数一次可以考虑哈~）

第二件事
已出柜，我年纪不大，但天赋异禀，莫名其妙就出柜成功了哈

第三件事

本人画风惊奇，性格跳脱，放荡不羁爱自由

可能一个人过得太好，所以谈恋爱一切随缘

第四件事

还有拜托请仔细查看我的属性，

不是受，

说我可爱对我来说完全不是夸奖，我是会可能会抠鼻屎证明自己的哈

"	鹄牧白	1	1
138	0.21	170	65	0.5	2	24		ErrorNow	1	0
139	0.21	175	65	1	370	23	在读。奔三。胖而不自知。热衷于交友。黑暗料理界顶级厨师。每一天都是热恋期。敢恨敢爱，有血有泪。	SuperMelon	4	1
140	0.22	174	57	0.5	20	18	学生。	Jimmy-Liu	2	1
141	0.22	175	60	0	10	22	健身房走起！希望在科大找一个普通的科大男生就好…不是外协，但是千万别娘炮。也欢迎可以交心的朋友，做个善良有素质的人。	理工科男生	1	1
142	0.22	176	66	-1	25	21		乖怪先森	2	2
143	0.22	174	55	-1	29	22	🚴🏻⚽️🏀🏉⚾️🎾	SAVANT-zz	1	1
144	0.22	180	63	0	564	22	"有些事可以不喜欢，但是需要尊重。喜好只是一种选择，而尊重却是修养。不要把一些喜好上升为道德准则。
那些鄙视娘炮的gay和自诩主流的直男有什么区别呢？"	HJS黑色曼陀罗	2	1
145	0.22	178	61	-1	36	22	戏子薄情，薄如一面	木木木NG了	1	1
146	0.22	175	65	0.5	210	23		洛夫因	2	1
147	0.22	178	65	0	31	23	都喜欢肌肉的，像我这样的弱鸡都没有市场_(:3」∠)_	HeroMe		1
148	0.22	178	68	1	112	24	 你如果了解立方氮化硼。	立方氮化硼	1	1
149	0.22	182	74	1	55	22	学生，同是科大的学生来聊，喜欢肉的，太瘦的没质感，非学生勿扰	回锅肉哥哥		1
150	0.22	173	64	-1	35	22	三观不正，聊得来。	皮卡皮卡皮		1
151	0.22	174	60	-1	223	22	微信QQ跟本人要，拒绝小号！...健身房增肌中.fighting！	东南西北-發		1
152	0.22	170	63	0.5	28	21	始于颜值，陷于才华，忠于人品	fuestck	1	1
153	0.22	174	59	-1	4	19	"UESTC
聊天
交友
不约
"	AbnerV	1	1
154	0.23	178	54	0.5	1	19		不知树	1	1
155	0.23	170	53	0	7	21	撩不撩？	Kentoss		1
156	0.23	164	59	-1	5	23		洛真	2	1
157	0.23	170	77	-1	1	19	"                       就算我再去努力爱上谁

                             到头来 也是白费

                     不如永远跟你耗来得快乐

                                    对不对"	我问你见过思念放过谁		1
158	0.24	172	60	-1	221	22	u	电磁学小巨人maybe	4	1
159	0.24	170	53	-1	106	21	合适就见面认识下	枫Ju	1	1
160	0.24	175	69	0.5	12	20	"未出柜
还在考虑要不要爆照，不过自拍好丑啊(๑ १д१)
不约，真的不约"	烛游	2	2
161	0.24	175	60	-1	4	24	来者不拒,快来勾引我	等风的pig	1	1
162	0.24	172	62	0.5	226	23	开始练肌肉咯，腹肌胸肌走起	也许淡忘了	1	1
163	0.24	170	51	-1	29	18		TOP是我老公	2	1
164	0.24	175	55	0.5	119	20		失马马	2	1
165	0.24	176	56	-1	52	22	"繁华褪尽，返璞归真

研一。"	leslie有谁共鸣	2	1
166	0.24	183	70	0	232	23	"长得磕碜还颜控，就是这么任性😁
不常在线，所以客套话少说，别查户口，直接重点😏
不回就是没兴趣，勿继续扰🎉"	白洛因丶X	1	1
167	0.25	180	60	0	19	20	真没意思，来个比我高的，比我帅的，想照顾我的，最重要的是要有共同语言的，让我心甘情愿扑进他怀里的！重申一遍，约炮不要来找我！！！比我矮的也别来找我，接受不了！！！	林怀柔	2	0
168	0.25	175	66	-1	91	22	没啥好说的	梦醒人去	1	2
169	0.25	173	52	0	22	18	"征友，条件如下：
1.未婚，年龄15+~24-（劳资不是大叔控）
2.不很帅可以，但是性格足够好。请先搞清楚对象，一开始的我们没权利要求对方对自己多好，也不要过于低贱，好好相处也能好好分手。
3.不可以双性恋，以前耍过女朋友就算了。
4.拒绝异地恋，能有比较多的时间好好在一起生活。
5.不要为难我，那些伤身体的不要过于频繁。
6.艾滋病患者勿扰，蟹蟹合作
7.你可以关注我，但是不要约炮
8.胖子绕道
9.叔叔绕道"	花儿与少年i	1	1
170	0.25	170	65	-1	48	22		井直直的男朋友	1	2
171	0.25	175	60	0	29	20	"电子渴基大学大三，找个帅boy一起健身可好。
不要看了，快撩我。"	取个名字好男3	2	2
172	0.25	182	68	1	181	24	打个酱油	打个酱油	1	0
173	0.25	177	69	-1	0	20		1231551321		0
174	0.25	120	120	0	12	22	不恋爱。	不上心的Kimi	2	0
175	0.25	173	65	0	14	23		wuy08	1	1
176	0.25	173	57	-1	9	20	世道险恶，一切随缘,这是个走心的时代	笑嘻嘻的树袋熊	1	1
177	0.25	165	51	-1	36	18	科大，果然名不虚传，欢迎来撩，但是不约噢(*^ω^*)	左行不后退	2	2
178	0.25	165	60	0.5	14	19	来交朋友的，如果可以做男票，可以嘿嘿嘿。。。。	寂静的河流	2	1
179	0.26	170	65	-1	3	17		GPOJ	1	0
180	0.26	173	61	-1	0	22		恐龙22	1	0
181	0.26	177	69	0	4	24	电八引仙有带小白pve的吗	防弹白鼠	1	0
182	0.26	171	60	-1	142	22	。	银角大王	1	1
183	0.26	177	62	0	68	18	"
  Tuesday came and went.
  waiting you"	illusion浣	1	1
184	0.26	173	65	0.5	10	34		Norrsken	1	2
185	0.26	185	70	1	66	21	爱熊，爱狒狒，爱羽毛球，哈哈，猴勿扰，硕士5组团的基友可以勾搭哈	legarconer	2	1
186	0.27	178	65	0.5	22	20	great. all things and 不约	瘫痪	1	1
187	0.27	178	69	0.5	30	24	"不约炮
窗外的世界很美丽，可惜上帝把我的窗户钉死了，我，一个傻子，等个锤子"	逗比拦山	2	1
188	0.27	120	200	-1	60	80	忘掉吧 告诉自己	-我是逗比我怕who	1	0
189	0.27	176	66	0.5	4	18		name-trouble	2	1
190	0.27	169	63	1	26	24	I am nobody!	britin123	1	2
191	0.27	168	55	-1	10	18	U E S T C	星0光	1	1
192	0.27	175	66	0	19	22	 我不求你有多帅 太帅了太没安全感 不求你多有钱 我不是冲着钱去的 不求你天天陪我 每个人都应该有属于自己的时间 你可以离我不用太近 距离产生美 我只求你能在我无聊的时候陪我聊天 我也能一样对你 我只求你有个温暖的怀抱能在我累了想哭的时候靠一靠	funken	1	1
193	0.28	175	60	0.5	1	19	喜欢动漫😂😂😂玩玩剑三。新生	名字好难想就这样		1
194	0.28	186	70	-1	33	18	"不相信爱情，也找不到幻想中纯真的感情
这个看脸的时代只想装成逗比。。"	不萌丶不帅	2	0
195	0.28	220	30	-1	10	78	"科大学生。
遇见没那么容易，
在找圈内第一位朋友，真心的。"	了了了了了了了了End	1	1
196	0.28	173	60	0	24	24		遇见_you	2	0
197	0.28	172	55	1	47	20	"在机场，永远等不到一膄船
我接受
这个形同陌路的结局
这个你想要的结局
我会过的更开心
这样你才会释怀
"	傻瓜你会有爱情的	4	1
198	0.29	175	90	0.5	139	20	常年精分，有男友，可聊天，不约	PlasmaIcy	4	1
199	0.29	170	65	0.5	3	22		我是谁666666		1
200	0.29	174	51	-1	5	19	不知道说什么，	杰佐	1	2
201	0.29	175	66	-1	3	23	1	jtpiatpp		1
202	0.29	171	57	-1	44	26		bnk	2	1
203	0.29	167	52	-1	59	23	挺想遇到一个靠谱的人，过着平平淡淡的生活，享受简简单单的日子。      不约。	toothless远	2	1
204	0.29	185	68	1	9	20	"修炼爱情的辛酸 学会放好以前的渴望！
不放照是想把最好的都留给你看"	_土豆土豆	2	1
205	0.29	165	48	0	1	18		Necixs	2	2
206	0.29	170	58	0.5	157	19	你开心就好	fzbrsw123	2	1
207	0.29	173	55	0.5	5	23	是石头，到哪儿都不会发光的~	木头超人er		1
208	0.3	183	75	-1	23	24	180以下勿扰	pinepinep	1	1
209	0.3	183	70	-1	2	18	找个18岁左右的好朋友，好兄弟,i am in 科大，照片私聊	不懂爱gbnh	2	2
210	0.3	173	65	-1	139	22	能不能让我陪着你走！	吉川学长	2	1
211	0.3	173	58	-1	210	22		那年春天山花烂漫	2	1
212	0.31	173	60	-1	29	19	"
微笑向暖，安之若素；素槿年华，惟愿安好。

"	兄命难违从此两别	2	0
213	0.31	182	74	-1	6	21		起名总是最麻烦的事	1	1
214	0.31	173	62	0.5	29	19	"理科学生一枚，爱好游泳，求基友一起游。
"	碧海幽波	1	1
215	0.31	173	58	-1	209	26		Steven2020	1	1
216	0.31	174	64	-1	10	26		birdiesu		0
217	0.32	154	96	1	3	51	等一个人	飞翔天空上	1	1
218	0.32	163	58	0	30	25	"小硕一枚，求脫单，照片是本人
qq:348057780"	zhong2015	2	1
219	0.33	170	77	0.5	6	23		小稚菊	1	1
220	0.34	175	70	-1	81	24		会飞的_雨	1	2
221	0.34	175	85	-1	18	18		205信箱	1	1
222	0.34	175	63	1	166	24		strer	1	2
223	0.34	170	54	1	3	22		wolves123	1	1
224	0.34	175	70	-1	25	24		常青桥	1	2
225	0.35	180	72	1	155	23	"对blued多数帅哥无感，喜欢校园随处擦肩的普通男生。想找温和，积极，不娘的同学交朋友。学习忙，要是回得慢请见谅。不约

温柔包容，待人真诚易相处，关注内心不浮躁。喜欢心理学，喜欢一切美好且真实的事物。本是感性却想做死理性派，偏内向但你会发现是闷骚。我有很多问题，正努力干掉他们修炼更好的自己。

其实这里并没有什么圈子，只有我们为自己设下的界限。你有一个世界，刚好我也有一个，我们一起拓宽彼此的世界吧。

"	乱世-浮生	2	1
226	0.35	173	59	-1	1	22		iyrdhon	1	1
227	0.35	182	72	1	17	22	你好	执子之手将汝带走	2	1
228	0.35	165	66	0.5	17	18	成电新生 欢迎勾搭 不约	GGGin丶	1	0
229	0.35	175	68	1	151	24	只聊天	shensshang	1	2
230	0.35	178	62	-1	67	22	想学羽毛球，求带。	Chou-----	2	1
231	0.36	172	65	1	68	24	无	头孢地尼	2	2
232	0.36	171	92	1	96	25	"喜熊狒肉壮，LOL班德尔
随便打望看看，交点朋友"	丶空野	4	1
233	0.36	167	62	-1	7	23	陪聊	hunter_猎人	1	0
234	0.36	173	61	0.5	18	23		aeeaeeaee		2
235	0.36	170	61	0.5	5	31		迟来的或许是最好的	1	0
236	0.37	183	70	1	104	24	你现在的气质里，藏着你走过的路，读过的诗和爱过的人。	KING-S	1	0
237	0.37	171	72	0.5	15	23		ogerjh	1	1
238	0.38	180	65	1	138	20		高日光	1	1
239	0.38	174	63	-1	9	25	但守此心	相当机智		1
240	0.38	178	75	1	48	25	"不能再懈怠了 努力 为了将来更好的你 等着
ps不喜欢太矮的，不喜欢太娘的，不喜欢太胖的"	窝次凹次凹次凹		1
241	0.39	174	56	-1	370	23	"一口又一口地吃着狗粮，单身dog一只，想要一场恋爱。
不约。"	瞎指挥	1	1
242	0.39	175	60	-1	91	25		hehehehggg	1	1
243	0.4	171	57	0.5	19	23		wswrong	1	1
244	0.4	170	70	0.5	12	19		舞空君	1	1
245	0.41	176	68	0.5	20	25		Xandos	1	2
246	0.41	170	60	0.5	0	24	颜值还可以，可撩不约	叮咚155	2	1
247	0.41	176	54	-1	41	22	山有木兮木有枝，心悦君兮君搞基。	灰骑士爱搞基	2	1
248	0.41	175	65	0.5	492	25	"不适合恋爱，没那份心

健健身、甩甩脂、看电影、喝喝酒、学习学习
恩..."	soclosetou		1
249	0.42	167	55	-1	33	25	"一份简简单单的幸福  
0/1皆可，top勿扰  
HIV阴性 #2016-08-12  
暂未出柜  
硕士在读  
喜欢游泳和爵士音乐  
"	ImYours	1	1
250	0.42	175	55	1	2	25	一转眼都变大叔了，不管男朋友还是女朋友，都应该找一个了…	王老五的	1	1
251	0.42	200	100	-1	16	50		0163Th	1	2
252	0.42	173	63	0.5	180	26		不将就012	1	2
253	0.43	178	75	1	66	23	照片本人，不约	小爷们-X	1	2
254	0.43	170	53	0.5	420	25	too cool for school	Maitre		1
255	0.43	186	78	0.5	8	20	偶尔看下直播刷刷，不约哦~好好学习	magiblue	2	1
256	0.43	180	93	1	311	25	聊天请先发照片！别一上就约，约你麻痹！	XMAN---		1
257	0.44	178	68	-1	372	22		胡锣不	2	1
258	0.44	180	58	0	18	23		一个人共存	2	1
259	0.46	174	63	-1	47	21	uestc   成为更好的自己  在健身	lihop	2	1
260	0.5	174	64	1	61	19	"UESTC 大二 Not. Single.
直到有一天
你像别人曾经对你付出那样对某个人好的时候
你才会明白那种赴汤蹈火和身不由己
明白原来那些辗转几条街为你买的蛋糕不是顺路碰到
密密发来的简讯不是因为无聊
为你花钱大手大脚不是因为生性大方
只是刚好，因为是你"	明明徒劳无功	4	1
261	0.52	180	65	0.5	193	23	曲终人散	Polynomial	1	1
262	0.54	178	65	1	15	24		大路小路Kk		1
263	0.54	175	63	0.5	550	23	"viva la vida
电子科技大学研究森
寻bf啦……/无照不聊哈……有点点点外协"	去哪儿异乡人		1
264	0.55	177	63	-1	12	23	"需要皮皮麻将。地主的朋友可以私聊我。想做代理的也可以联系。
非诚勿扰"	皮皮麻将钻石		2
265	0.55	178	70	1	104	22	好好的人说弯就弯了	沉迷学习请勿扰	1	1
266	0.57	170	58	0.5	63	23		作死的爱	2	1
267	0.57	133	37	-1	157	21	来聊天啊	橄榄树枝丫丫丫	2	1
268	0.59	167	60	-1	4	24	1050705584，打招呼请带照片好吗，不然你让我跟一个无头的说话啊😱	Bsiekjrhs	4	1
269	0.59	173	55	-1	4	25	当我遇见他，世界变的好美好。	已跪烧纸	4	0
