	distance	height	weight	role	hot	age	description	name	online_state
106	0.38	180	78	0.5	6	26	没有承诺，却被你抓得更紧~~~瘦子勿扰，我不约，谢谢	愛無罪2015-	1
107	0.38	170	85	-1	33	26	已有BF，有出柜并且和爱人结婚的打算，来这里纯粹是交友，有空可以一起玩一起吃一起电影。喜欢的就加吧~	二分之一顶点小攻	1
108	0.38	170	50	0	36	21	不约，想约的请自动绕道，谢谢。	爷们儿耐0	1
109	0.38	174	65	0.5	28	34	相知，简单，相约，不闲聊。假照勿扰！	Sean-Hi	1
110	0.38	175	55	-1	7	26	其实我很努力，就是太盲目，所以一切都是枉费	善者多福8	1
111	0.38	176	67	-1	209	22	要有多坚强，才敢念念不忘。	三木木贝塔	1
112	0.38	175	85	-1	67	36	喜壮熊，肌肉！	小爷有点野	1
113	0.38	173	60	0.5	88	30		中国好声音好	1
114	0.38	175	55	0.5	19	18	几分曾经	希望你是我等的人	1
115	0.38	173	62	-1	6	20	每个人都渴望遇到一份真挚的爱情，我也不例外，只是我不再像从前那样满怀期待。	独自的逍	1
116	0.38	176	73	-1	3	25		落下伤痕	2
117	0.4	176	70	1	297	27	"时间永远是旁观者
所有的过程和结果
都需要自己去承担
😤😤😤
温馨提示：不谈情，不交男朋友，不约"	L乂S	1
118	0.41	180	85	0.5	607	30	自己，喜欢也是肌肉的。长期的。不接受视频验证的就不要打招呼了	hopfj	1
119	0.41	177	61	0.5	10	22	本人相貌普通 要见直接见面 不发照片 	你还在哪里等我	1
120	0.42	180	70	-1	5	28	你发我回是什么鬼？你爱发不发！	一见钟情的承诺	2
121	0.42	173	57	-1	8	30	初来乍到	yun333	0
122	0.42	172	63	-1	6	25	最近很是空虚寂寞冷，诚找好朋友，好朋友就好了，附近的有没有颜值的高素质朋友，平时可以相互串串门喝喝酒聊聊故事，同时给bf找姘头：要么帅要么大	众曰叁亦天地人	1
123	0.42	175	70	0.5	576	26	"已出柜，找bf，交些朋友。

微信：1505907289

江山泼墨，文字激昂。任世间多少凄凉。繁华空落，仰望苍穹。只待佳人伴侧，衣锦还乡。"	汀渚	1
124	0.43	186	73	0.5	164	23	"曾经相信过爱情，后来知道，原来爱情必须转化为亲情才可能持久，但是转化为亲情的爱情，犹如化入杯水中的冰块——它还是冰块吗？
曾经相信过海枯石烂作为永恒不灭的表征，后来知道，原来海其实很容易枯，石，原来很容易烂。雨水，很可能不再来，沧海，不会再成桑田。原来，自己脚下所踩的地球，很容易被毁灭。海枯石烂的永恒，原来不存在。
然而爱情总是幻灭的多，但是萤火虫在夜里发光从来就不是为了保持光。海枯石烂的永恒也许不存在，但是如果一粒沙里有一个无穷的宇宙，一刹那里想必也有一个不变不移的时间。"	树犹如此in	1
125	0.43	172	65	1	34	22	"微笑的眼睛才能看到美丽的风景
简单的心境才能用有快乐的心情 
      "	提枪上马戳菊花	1
126	0.43	186	82	-1	224	27	MSDB	健身运动s	2
127	0.43	173	60	1	1160	27	附近有没有LOL的好基友，一起来班的尔城玩吧，请不要说什么看看你。或有什么看的，	H男人海洋521	1
128	0.44	180	70	1	1368	22		那些年遗忘的人	1
129	0.44	170	54	-1	253	21	资料照片是本人，我，只是想找个男朋友，他能好好爱我，就够了……，如果你想找个爱的人好好在一起的话，我们聊聊吧，有点不敢奢望爱情……	梦南飞	1
130	0.44	170	60	-1	19	17	我不太喜欢三十岁以上的大叔，谅解，勿扰谢谢	喜欢颜帝	0
131	0.44	172	60	0.5	498	25	"just looking around, not sleep around.

Thou hast made me endless, such is thy pleasure. This frail vessel thou emptiest again and again, and fillest it ever with fresh life.

你已令我无尽，这是你的想要的。这易碎的器皿被你一次又一次清空，再一次次地注入新鲜的生命。"	受逼男山	1
132	0.45	175	60	0.5	170	21	求勾搭	卓然Fabulous	1
133	0.45	170	55	-1	88	24	"

我只想你知道，

迟早，

你会再遇上一个人，

你对他好，他也对你好的人。

那个时候你再想起现在不开心的事，

你会觉得很好笑，很无聊。

最重要的是给自己机会。"	zzzzzzzlm	2
134	0.45	174	100	0	90	25	你就是我的新年。	mrcx	1
135	0.45	175	60	1	130	31		samchung	2
136	0.46	173	63	0.5	16	23	"我是一个偶尔傲娇大多数时间很暖很善解人意的小受，长相正常。大家对我的印象是在熟人面前比较活泼，在不熟人面前比较乖。生活在中产阶级家庭中，现在在西安学IT类，毕业后可能去北京或深圳，目前未出柜。
希望能找一个年龄在23～30，比较体贴，能分享喜怒哀乐，懂得享受生活，长相正常（帅不帅无所谓但是接受不了丑的），本科或者硕士学历的（只是觉得这样的三观和我差不多，没有歧视的意思）。
我觉得感情更多是心理上的愉悦，是慢慢培养的，不是肉体上你来我往，也不是一开始就你侬我侬，所以不约。合适的私聊～
还有我是双性恋😏～"	o0_0o	1
137	0.46	170	65	-1	80	24	世上帅哥那么多哪能都是你的	2017应届毕业	1
138	0.47	174	65	1	434	31	一念之间，缘起缘灭，随缘！ 喜瘦的 没脸的还有脸要照片的  请忽略！ 微信： leizi9257  qq: 736183832  添加请注明blued   谢谢	扔子弹飞	1
139	0.47	178	65	-1	13	24		成才学院	1
140	0.52	178	67	1	11	22	曾爱过，所以只想平平淡淡。	流浪-新加	1
141	0.52	175	60	0.5	98	20	做	Lanyuze先森	1
142	0.52	168	54	0	27	25	"很感谢这个软件，让我遇到的都是好人
不过我觉得我的运气不会一直都这么好，所以我打算卸载软件，投入学习。再见"	GirlInTheMirrorE	1
143	0.52	182	75	0	8	29	别开枪	公别开枪是我	1
144	0.52	176	59	0.5	8	22	不约炮谢谢。wechat：570325070	果再一次遇见	1
145	0.52	170	52	0.5	11	23	  108斤 20岁	boyAlexLee小攻	1
146	0.52	170	55	0.5	9	31	一个人愿意陪着你，能够把心给了你，这就是爱你。找你聊天，不是寂寞，而是担心你孤单；让你开心，不是没事做，而是怕你伤心。珍惜一个对你好的人，因为：失去了不再回来，错过了难再拥有！若生命中，有一个人可想，可念，可喜欢，可眷恋，无不是一件美好的事情，一份珍贵的感情。虽然不能帮你擦去眼泪，但能给你贴心的安慰；尽管不能做你身边的支撑，但能给你真实的心疼。人生最幸福的事，就是有人可懂，有情可依！	Y2015等待中	1
147	0.52	175	60	0.5	36	25	我的顾海、白洛因呢	555666999	1
148	0.52	185	65	-1	14	29	爱我的请举手，我爱的请你点点头	MONster-阿	1
149	0.52	170	75	-1	13	25	喜欢35-55之间的不瘦的朋友，照片本人。	你一辈子	1
150	0.52	171	65	1	3	36	图片非本，请勿YY	啊木头舅舅	1
151	0.52	175	75	0.5	290	56	上门。。。。无聊勿扰！照片本人！	奇哥123	1
152	0.52	172	50	-1	3	26	求关注😘	服f	1
153	0.52	178	65	0	14	25	你的自由和操控都不属于我	SOS丶	1
154	0.52	177	69	-1	18	27	本人在寻找长久的亲，在一起开开心心，互不干涉对方家庭，本人不会销要对方财物，本人现在己经月收入在三到五万左右，只要对方互相关心，互相体谅，长相一般就行，本人经营佛教用品，	高夫纯一	1
155	0.52	186	72	0.5	60	24	pzhao110 V信	够味危机d	1
156	0.52	180	70	0	24	27	无非就是缘分	天空海阔tj	1
157	0.52	192	75	-1	33	25	归根到底我是喜欢女人的，看见帅哥也调戏一下打打牙祭	----海-----	1
158	0.52	170	63	-1	2	25	喜欢摄影！之前帮一个弟弟拍的！没什么处理！给各位帅哥们欣赏欣赏！	伤的爱是有点痛	1
159	0.52	177	70	-1	7	25	性感强壮男人找有缘人喜欢我留下你微信或者Q	猛男o	1
160	0.52	175	50	0	37	25	你以为对方只是话唠，其实只是特别喜欢你	寻找香蕉	1
161	0.52	174	54	1	10	25	做个好朋友不好吗  非要约	屌莫装庇	1
162	0.52	176	64	-1	15	22	"

what a great big world!"	性爱师妹	1
163	0.52	170	50	-1	0	21	天青色等烟雨	在失眠	1
164	0.52	170	60	-1	3	20	一颗心，是寂寞，是孤单。两颗心，是相守，是依偎！等你！	who是我的	1
165	0.52	175	88	1	10	21	886blued	墨迹的轱辘远点X	1
166	0.52	174	61	0.5	43	25		卫囝囝	1
167	0.52	172	65	0	7	20	卸载此软件了，如果有想和我做朋友的。就加我qq吧。494102036.我叫路路。记得打上加我时的备注。谢谢。	村男孩丶	1
168	0.52	175	55	0.5	1	26	此情可待成追忆，只是当时已枉然！	在坟头等鬼约	1
169	0.52	170	55	0.5	6	25	本人喜欢50-65岁大叔！非诚勿扰！无照不回。	O爱爱Love爱爱	2
170	0.52	175	65	0	3	24	本人严重缺钱！！！谢谢理解喔	丑囝聚仂	1
171	0.52	168	58	0	6	23	"bottom.
21 years old.
chinese.
"	r1ckyl1eG	1
172	0.52	179	75	0.5	10	29	(ღˇ◡ˇღ)	biubiubiubiubiubiua	1
173	0.52	177	68	-1	32	30	Divd	许帅	1
174	0.52	187	85	0.5	3	22	自2015年9月与均均在一起。	俊爱均均	1
175	0.53	175	66	0	15	25	小受受，求勾搭	芭比boys-	1
176	0.53	167	50	-1	12	27	……	你说吧吧	1
177	0.53	182	78	-1	39	25	#	飛F	1
178	0.53	170	64	-1	4	26	where r u ？	Mm-j痞子	1
179	0.53	174	63	0.5	27	25	💪💪	Kiehls2t	1
180	0.53	173	60	0.5	19	30	From Paris with love....	天人合	1
181	0.53	166	55	0.5	7	46	朋友需要彼此，你若能把我放在内心，我定会把你捧在手心	0知己真情	1
182	0.53	173	64	1	46	25	"人生总有一些说不出的秘密
          ———生活总有一些事是无法挽回的
"	h限量小哥	2
183	0.53	178	80	1	107	25	男人就要有男人的样子！看不惯扭扭捏捏，夹逼夹叼的人！	乄Black小钢	1
184	0.53	176	62	0	29	21	         💋	何昵称那么难	1
185	0.53	180	68	0.5	58	25	开心就好	男神耍耍三叉戟	1
186	0.53	173	53	0	9	25	如果是你可以陪我一起走下去，那就不要叫我等太久，我等你说“嗨”	xiao石	1
187	0.53	173	65	-1	12	33	"Friend gym buddy 
💪TR"	Marchen	1
188	0.53	180	68	0.5	27	25		飞扬无极限X	1
189	0.53	172	52	1	4	28	人生本过客，何必千千结	Q1z	2
190	0.53	180	88	0.5	1	25	"

毋须烦恼，终有弱水替沧海，
抛却纠缠，再把相思寄巫山。"	红似你大姨妈	1
191	0.53	190	60	-1	30	25	分享点滴，留住感动😌	hndjdjfjk	1
192	0.53	173	60	-1	92	25		西安肉夹馍	1
193	0.53	170	70	1	22	23	没照片就不要Hi了。不喜瘦，猴子就别HI了。	dheucbh-	1
194	0.53	174	55	0	4	21	喜欢个子高的大哥哥⋯⋯	idbig	2
195	0.53	168	52	-1	1	24	春去秋来，心里住着一个人，乐乐！	olovelele	1
196	0.53	175	55	0	15	28	"加我QQ呗，
2332723913"	鹏韩	1
197	0.53	172	62	0	75	24	又想恋爱了。。	淡淡扯淡	0
198	0.53	170	60	0.5	3	25	"

大数据行业，希望认识人品好，教育水平相似的朋友，或者身材好的：P
找聊得来的朋友or LTR
...Friends or more
很多人没有任何信息所以聊天都难以启齿
Tell me something about you so we could chat:)
希望加入小圈子
Well-educated, discreet and passionate about life. Work in both Data Mining and Quant Finance fieldm"	Eltonchu-	1
199	0.53	168	48	0	9	25	找男朋友	风以后的以后谁会幸福	1
200	0.53	169	51	-1	17	24	本人喜欢男人爷们大气的，那种扭扭捏捏，娘们的，长的娘们，骚的，没男人样的，离远点，看着就烦	哥gvjn	1
201	0.53	170	110	0	10	25	爱动漫，爱cos，爱游戏，任性又害羞，不约，相处看性格，喜熊多一点～	刀-	1
202	0.53	180	70	0.5	13	25	本人已有男友，请勿随便乱勾搭【圈内人不加微信】	JD-MO-	1
203	0.53	170	63	0	4	27	无聊，好无聊，谁来陪我啊	soul49丶	1
204	0.53	186	72	1	22	25	juceyano9389微信 消息发不了 加微信聊吧	xuancheng186721丶	1
205	0.53	170	60	1	77	25	"真诚的坏蛋
"	翱翔fei-	1
206	0.53	180	75	1	15	21	平静中看红尘飞舞，寂寞中品世事沉浮。	a小天1E	1
207	0.53	170	67	-1	2	25	"过去的一页，能不翻就不要翻，人生之旅终是自己，或者说是孤独的。不管路上繁华似锦，还是有多少人陪伴...
QQ692460694"	爱t深	1
208	0.53	175	70	-1	10	25	只找对的，不求更好！	阳光掠过海洋V	1
209	0.53	173	58	0	1	25	😯壁咚、壁咚…	缠绵BadRomance-	1
210	0.55	175	60	1	7	33		印象G	1
211	0.55	183	70	1	110	22	不装逼还有的说，比较耿直，喜欢正常一点的，太娘勿扰，30以上勿扰，无照，假照勿扰，要照片可以，先让我看清你的，偶尔约个炮，无不良嗜好，欢迎勾搭，最好是一直做朋友 互不影响各自家庭和工作还有生活 又可以一起有单独在一起的空间和时间。	谈对象太累	1
212	0.55	175	74	0.5	57	21	"广交朋友。一起健身。
低调不做作。
_Summer_
江苏人刚到西安读研。
不放照片了，爱咋咋滴随便了。
对blued很失望。"	激萌路小叔	1
213	0.56	180	60	0.5	155	20		梦里寻Ta丶	0
214	0.56	179	65	0	35	17	被抛弃的人没有喜感	Mr寒先生	1
215	0.56	170	71	0.5	12	34		精灵虫	1
216	0.56	177	70	-1	149	29	相逢是首歌	ample0	1
217	0.57	175	65	1	520	29	"

只聊排骨（只要你正常、像个男人就行。"	-这个星期日你有空嘛-	1
218	0.57	171	61	0	19	23		sghjl	2
219	0.57	174	65	1	108	23	CP	Boyzgonewild	1
220	0.57	180	68	1	186	27		G小相公	1
221	0.57	175	62	-1	128	27	"。佳偶突然袭击！生前何必久睡！死后自会长眠！
~∩＿∩
（ ´∀｀）
（　　　）"	其实也就是那么一会事	1
222	0.57	174	60	1	46	26	"爱过。做自己
我有一条祖传的染色体想要赠送给你"	老干瘪	1
223	0.57	175	70	1	12	29		缘分伊人	1
224	0.57	171	56	-1	387	29	安静	安静-----	1
225	0.57	170	60	0.5	14	24		我心永恒--------	2
226	0.58	181	68	0.5	120	23	"本人直接爽快。。不喜欢墨迹。合适加微信
haohuzi69"	短发精干痞子	1
227	0.58	185	80	1	20	36	大叔不谈感情，谈感情的请绕道，别到时候难堪，我是年龄控和身材控，25岁以上75公斤以上的除非颜值超高或者技术超好的才接受！大叔虽然很花心但是也很认真的，你走不到我心里只能说明你了解我的太少太少，我不帅花心还很坏，想要彻底占有我除非你有足够的热情来融化我这冰封的心。	谁知吾心	1
228	0.58	179	69	0	708	27	短发公0⃣️	兄弟炮	0
229	0.58	170	78	-1	187	42	单身。已婚人士勿扰	rodwell	1
230	0.58	172	57	0.5	76	30	坚信真爱！！	sun1874	1
231	0.58	171	60	-1	26	25	"喜欢与喜欢总是对不上。
坦诚接受自己。
人丑心累。
我也想要朋友。
微信 oceanbigbang"	simob	1
232	0.58	175	80	1	123	37	不约炮，不聊天，看清楚！！！！	DeeplyBluer	0
233	0.59	170	58	0.5	36	23	诚心交朋友，聊天，互解烦忧	纯真追寻对的人	0
